57	A: 1. 
Time (s): 0.064
2	A: 6. 
16	A: 2. 
1	A: 7. 
8	A: 3. 
55	A: 1. 
Time (s): 0.0644
2	A: 6. 
17	A: 2. 
1	A: 7. 
7	A: 3. 
56	A: 1. 
Time (s): 0.0648
2	A: 6. 
17	A: 2. 
1	A: 7. 
7	A: 3. 
56	A: 1. 
Time (s): 0.0652
2	A: 6. 
17	A: 2. 
1	A: 7. 
7	A: 3. 
56	A: 1. 
Time (s): 0.0656
2	A: 6. 
17	A: 2. 
1	A: 7. 
7	A: 3. 
56	A: 1. 
Time (s): 0.066
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0664
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0668
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0672
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0676
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.068
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0684
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0688
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0692
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0696
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.07
2	A: 6. 
18	A: 2. 
1	A: 7. 
6	A: 3. 
57	A: 1. 
Time (s): 0.0704
2	A: 6. 
19	A: 2. 
1	A: 7. 
5	A: 3. 
